Date,Time,Day of Week,Category,Details,Location,Press Pool,Daily Summary,Factba.se URL,,
2/13/2026,17:52:00,Friday,Pool Report Schedule,The President departs Palm Beach International Airport for Mar-a-Lago,Palm Beach International Airport,Out-of-Town Travel Pool,,,,
2/13/2026,18:02:00,Friday,Pool Report Schedule,The President arrives at Mar-a-Lago,Mar-a-Lago,Out-of-Town Travel Pool,,,,
2/13/2026,18:05:00,Friday,Pool Report Schedule,White House Press Office: Full lid called,Mar-a-Lago,Out-of-Town Travel Pool,,,,
2/13/2026,19:45:00,Friday,President Schedule,The President participates in a Private Dinner,Mar-a-Lago,Out-of-Town Travel Pool,,,,
2/12/2026,8:43:00,Thursday,Pool Report Schedule,Brooke Rollins briefs reporters at The Sticks,The Sticks - The White House,,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-briefing-brooke-rollins-the-white-house-february-12-2026/,Array,
2/12/2026,11:00:00,Thursday,President Schedule,The President receives his Intelligence Briefing,Oval Office,Closed Press,,,,
2/12/2026,11:25:00,Thursday,Pool Report Schedule,White House Press Office: Lunch lid until 12:15 PM,The White House,Out-of-Town Travel Pool,,,,
2/12/2026,13:30:00,Thursday,President Schedule,The President makes an Announcement with the Administrator of the EPA,Roosevelt Room,White House Press Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-repeal-climate-change-finding-epa-february-12-2026/,,
2/12/2026,15:00:00,Thursday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
2/12/2026,17:30:00,Thursday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
2/12/2026,18:08:00,Thursday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
2/11/2026,9:55:00,Wednesday,Pool Report Schedule,Kevin Hassett briefs reporters at The Sticks,The Sticks - The White House,,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-briefing-kevin-hassett-the-white-house-february-11-2026/,,
2/11/2026,11:00:00,Wednesday,President Schedule,The President participates in Visit with the Prime Minister of the State of Israel,Oval Office,Closed Press,,,,
2/11/2026,16:00:00,Wednesday,President Schedule,The President participates in the Champion of Coal Event,East Room,Pre-Credentialed Media,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-coal-event-white-house-february-11-2026/,,
2/11/2026,17:30:00,Wednesday,President Schedule,The President meets with the Special Envoy to the United Kingdom,Oval Office,Closed Press,,,,
2/11/2026,18:02:00,Wednesday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
2/10/2026,11:07:00,Tuesday,Pool Report Schedule,White House Press Office: Lunch lid until 12:00 PM,The White House,Out-of-Town Travel Pool,,,,
2/10/2026,13:00:00,Tuesday,Briefing Schedule,Press Briefing by the White House Press Secretary Karoline Leavitt,James S. Brady Press Briefing Room,On Camera,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-briefing-karoline-leavitt-the-white-house-february-10-2026/,,
2/10/2026,16:30:00,Tuesday,President Schedule,The President participates in Signing Time,Oval Office,Closed Press,,,,
2/10/2026,17:30:00,Tuesday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
2/10/2026,18:03:00,Tuesday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
2/10/2026,19:00:00,Tuesday,President Schedule,The President participates in a Private Dinner,The White House,Closed Press,,,,
2/9/2026,0:12:00,Monday,Pool Report Schedule,The President departs Joint Base Andrews for the White House,Joint Base Andrews,,,,Array,
2/9/2026,0:21:00,Monday,Pool Report Schedule,The President arrives at the White House,South Lawn,,,,,
2/9/2026,0:26:00,Monday,Pool Report Schedule,"White House Press Office: Full lid called for February 8, 2026",The White House,,,,,
2/9/2026,11:53:00,Monday,Pool Report Schedule,White House Press Office: Lunch lid until 12:45 PM,The White House,Out-of-Town Travel Pool,,,,
2/9/2026,15:00:00,Monday,President Schedule,"The President participates in a TV Interview [Note: Larry Kudlow, Fox Business]",Roosevelt Room,Closed Press,,https://rollcall.com/factbase/trump/transcript/donald-trump-interview-larry-kudlow-fox-business-february-9-2023/,,
2/9/2026,17:30:00,Monday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
2/9/2026,18:01:00,Monday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
2/8/2026,,Sunday,President Schedule,"TBD: The President departs Palm Beach, Florida, en route The White House ",Mar-a-Lago,Out-of-Town Travel Pool,,,Array,
2/8/2026,9:28:00,Sunday,Pool Report Schedule,The President departs Mar-a-Lago for his golf club,Mar-a-Lago,,,,,
2/8/2026,9:34:00,Sunday,Pool Report Schedule,The President arrives at Trump International Golf Club West Palm Beach,Trump International Golf Club West Palm Beach,,,,Array,
2/8/2026,16:05:00,Sunday,Pool Report Schedule,The President departs Trump International Golf Club West Palm Beach for Mar-a-Lago,Trump International Golf Club West Palm Beach,,,,Array,
2/8/2026,16:11:00,Sunday,Pool Report Schedule,The President arrives at Mar-a-Lago,Mar-a-Lago,,,,,
2/8/2026,17:53:00,Sunday,Pool Report Schedule,The President departs Mar-a-Lago for his golf club,Mar-a-Lago,,,,,
2/8/2026,17:59:00,Sunday,Pool Report Schedule,The President arrives at Trump International Golf Club West Palm Beach,Trump International Golf Club West Palm Beach,,,,,
2/8/2026,18:30:00,Sunday,President Schedule,The President attends Super Bowl Watch Party,Trump International Golf Club West Palm Beach,Closed Press,,,,
2/8/2026,21:41:00,Sunday,Pool Report Schedule,The President departs Trump International Golf Club West Palm Beach for Palm Beach International Airport,Trump International Golf Club West Palm Beach,,,,,
2/8/2026,21:46:00,Sunday,Pool Report Schedule,The President arrives at Palm Beach International Airport,Palm Beach International Airport,,,,,
2/8/2026,22:01:00,Sunday,Pool Report Schedule,The President departs Palm Beach International Airport for Joint Base Andrews,Palm Beach International Airport,,,,,
2/8/2026,23:54:00,Sunday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,,,,,
2/7/2026,9:21:00,Saturday,Pool Report Schedule,The President departs Mar-a-Lago for his golf club,Mar-a-Lago,,,,,
2/7/2026,9:29:00,Saturday,Pool Report Schedule,The President arrives at Trump International Golf Club West Palm Beach,Trump International Golf Club West Palm Beach,,,,Array,
2/7/2026,15:00:00,Saturday,Pool Report Schedule,The President departs Trump International Golf Club West Palm Beach for Mar-a-Lago,Trump International Golf Club West Palm Beach,,,,Array,
2/7/2026,15:10:00,Saturday,Pool Report Schedule,The President arrives at Mar-a-Lago,Mar-a-Lago,,,,,
2/7/2026,15:30:00,Saturday,President Schedule,The President meets with the President of the Republic of Honduras,Mar-a-Lago,Out-of-Town Travel Pool,,,,
2/7/2026,17:10:00,Saturday,Pool Report Schedule,White House Press Office: Full lid called,Mar-a-Lago,,,,,
2/6/2026,,Friday,President Schedule,"TBD: The President departs The White House en route Palm Beach, FL",The White House,Out-of-Town Travel Pool,,,Array,
2/6/2026,15:00:00,Friday,President Schedule,The President signs Executive Orders,Oval Office,Out-of-Town Travel Pool,,,,
